Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,20596.1,14278.8,20654.7,14356.5,4908.83594,25530.875,291.1413,-6.86246,1.13805,3224.91357,27875.23438,5888,1,-1,6,0,0,433.1747,13.49929,20596.1,14278.8,20654.7,14356.5
405/647,20688.7,14085,20648.9,14358.3,2949.72949,20727.05664,338.40591,-60.30043,1.26964,3040.90112,22769.84375,18264,1,-1,7,0,0,351.66975,20.56082,20688.7,14085,20648.9,14358.3
405/647,20664.4,14144,20648.9,14367,8754.21582,51718.20313,310.29395,62.1953,1.03078,3175.99634,53741.17188,16018,1,-1,5,0,0,877.48724,8.34377,20664.4,14144,20648.9,14367
405/647,20646.7,14361.7,20655.5,14361.3,10982.25879,56530.05078,289.63702,19.31,1.11278,3297.42725,59288.0625,748,1,-1,5,0,0,959.12841,7.09347,20646.7,14361.7,20655.5,14361.3
405/647,20595.5,14287,20654.2,14364.7,5165.79639,29144.98438,303.23093,-31.87708,1.09631,3079.76221,33237.65625,5885,1,-1,10,0,0,494.49421,12.70881,20595.5,14287,20654.2,14364.7
405/647,20671.1,14135.9,20655.7,14358.7,11368.30176,64817.13281,304.82974,1.35632,1.10162,3225.60059,67823.57813,16013,1,-1,6,0,0,1099.73285,6.85612,20671.1,14135.9,20655.7,14358.7
405/647,20675.5,14132,20659.7,14355.3,4818.01758,26534.99023,299.59564,-47.99964,1.04509,2897.61279,29219.96875,16030,1,-1,5,0,0,450.21122,13.20327,20675.5,14132,20659.7,14355.3
405/647,20673.5,14139.8,20657.7,14363.2,3466.54565,17978.96875,290.73288,-50.50105,1.07384,3084.40894,20328.96875,16032,1,-1,-2,0,0,305.04377,17.95811,20673.5,14139.8,20657.7,14363.2
405/647,20619.7,14245,20658,14367.2,4510.39209,25289.0625,302.28699,87.06979,1.01172,3184.02637,28774.70313,7912,1,-1,-2,0,0,429.07194,14.43456,20619.7,14245,20658,14367.2
405/647,20602.2,14280.2,20660.8,14358,6454.28467,38681.99609,312.52921,-57.93613,1.14078,3137.47729,41790.60938,5891,1,-1,5,0,0,656.30582,10.61637,20602.2,14280.2,20660.8,14358
405/647,20603.8,14290.7,20664.4,14363.5,2350.71899,18565.56836,358.76825,62.14027,1.09711,2945.19678,22716.35938,5652,1,-1,-2,0,0,314.99643,24.90425,20603.8,14290.7,20664.4,14363.5
405/647,20757.9,14067.7,20662.7,14363.5,3020.56934,16030.92188,294.10004,83.64539,1.14395,3162.86353,18499.6875,20386,1,-1,-3,0,0,271.99184,20.49139,20757.9,14067.7,20662.7,14363.5
405/647,20622.6,14244.6,20660.8,14366.8,2404.3623,6136.1626,203.94295,66.24789,1.17263,3250.29614,8635.48438,7913,1,-1,-2,0,0,104.11043,25.6852,20622.6,14244.6,20660.8,14366.8
405/647,20679.5,14145.7,20664.1,14368.7,9190.96289,51090.45313,300.98828,58.10514,1.04078,3219.72217,54502.60938,16017,1,-1,-2,0,0,866.83639,8.07173,20679.5,14145.7,20664.1,14368.7
