"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
21269,37740.2,18463.0,135.8,538,472,12.2,13.54,2
15481,37745.1,18435.0,134.1,166,465,12.2,28.84,1
1968,37750.1,18432.3,128.7,119,485,12.2,37.21,1
11606,37779.3,18439.1,137.0,191,452,12.2,26.11,1
15007,37750.3,18445.0,152.3,832,465,12.2,13.12,3
15193,37784.4,18449.3,127.3,239,464,12.2,18.85,1
17725,37767.0,18456.8,162.0,215,467,12.2,32.36,1
44693,37804.0,18432.6,145.7,182,465,12.2,30.86,1
49034,37825.9,18462.9,154.1,458,449,12.2,19.29,2
15004,37741.4,18472.9,173.9,387,454,12.2,21.14,1
25363,37503.8,18509.1,139.8,213,488,12.2,25.34,1
45673,37506.7,18509.8,132.3,171,452,12.2,27.13,1
24582,37514.3,18527.4,148.8,244,465,12.2,24.50,1
31526,37533.3,18514.4,126.3,162,470,12.2,26.62,1
45668,37521.7,18519.7,129.9,143,470,12.2,31.40,1
11436,37546.9,18536.3,151.6,675,466,12.2,15.78,3
16488,37561.4,18532.4,143.4,2146,478,12.2,5.80,4
17970,37562.0,18498.6,126.3,184,467,12.2,23.61,1
43671,37569.2,18522.8,130.3,225,447,12.2,20.48,1
31546,37578.8,18536.0,144.9,177,459,12.2,31.28,1
18480,37584.8,18508.9,158.5,372,480,12.2,18.96,1
10370,37601.8,18480.5,165.9,266,460,12.2,27.48,1
3196,37608.6,18507.5,152.1,198,472,12.2,31.11,1
43298,37610.3,18501.5,132.5,703,462,12.2,10.16,2
46278,37627.0,18508.3,158.5,449,464,12.2,15.83,1
17659,37640.4,18482.3,108.6,139,478,12.2,23.45,1
34459,37641.7,18491.7,159.2,209,460,12.2,31.86,1
17652,37645.2,18501.9,155.6,236,464,12.2,27.46,1
21541,37641.3,18504.6,143.4,359,477,12.2,16.35,1
43560,37593.6,18517.0,139.2,180,450,12.2,28.30,1
17965,37590.8,18524.4,151.0,794,467,12.2,15.27,4
12716,37587.2,18532.0,136.0,165,438,12.2,29.07,1
34192,37592.8,18520.6,134.6,254,467,12.2,19.76,1
46670,37613.5,18517.7,119.7,101,466,12.2,37.43,1
23999,37606.3,18526.1,129.3,190,469,12.2,23.93,1
783,37614.4,18521.1,123.5,100,462,12.2,39.77,1
29766,37621.1,18536.5,167.1,410,442,12.2,24.73,2
3191,37523.9,18539.5,133.1,313,495,12.2,16.45,1
45977,37507.1,18542.0,130.1,140,452,12.2,31.64,1
46260,37529.1,18537.9,140.5,394,462,12.2,18.97,2
3956,37538.1,18538.7,149.8,3428,509,12.2,4.63,5
11434,37532.1,18549.8,135.5,162,472,12.2,30.37,1
45997,37540.1,18549.8,107.4,134,477,12.2,23.86,1
46266,37534.8,18553.3,140.7,508,458,12.2,15.03,2
28554,37524.1,18557.6,126.7,144,460,12.2,29.52,1
45671,37525.5,18556.3,127.3,257,458,12.2,17.63,1
16495,37552.2,18541.8,135.3,1876,481,12.2,5.91,4
3181,37558.3,18552.0,152.7,1611,478,12.2,7.42,3
45327,37534.7,18562.4,139.2,124,451,12.2,40.15,1
45576,37476.1,18564.4,129.9,196,450,12.2,23.07,1
45664,37474.8,18570.8,106.1,160,452,12.2,19.45,1
46275,37497.7,18576.7,135.2,392,465,12.2,17.81,2
46270,37464.2,18596.8,108.7,115,459,12.2,27.43,1
27219,37485.2,18621.2,150.2,524,454,12.2,16.38,2
29131,37464.4,18641.2,166.8,258,449,12.2,28.32,1
28552,37491.1,18662.4,148.9,225,457,12.2,26.28,1
43830,37471.3,18686.7,151.8,281,451,12.2,22.09,1
