"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
14253,30231.1,22705.9,125.2,106,534,12.2,41.08,1
14760,30237.2,22718.0,123.0,129,578,12.2,34.28,1
18028,30135.4,22750.5,125.0,267,554,12.2,17.72,1
23719,30127.6,22761.6,128.6,307,545,12.2,16.35,1
4584,30128.9,22779.0,137.0,510,580,12.2,11.99,1
21875,30163.5,22822.5,124.2,198,538,12.2,22.78,1
14017,30156.3,22857.0,137.4,257,576,12.2,22.12,1
49924,30120.4,22916.6,131.4,373,565,12.2,19.18,2
33662,30152.7,22888.9,109.0,160,520,12.2,21.48,1
25860,30128.7,22927.4,141.2,130,597,12.2,44.93,1
1392,30162.1,22939.8,176.8,211,587,12.2,43.01,1
37326,30197.6,22881.2,176.8,228,538,12.2,38.32,1
25850,30212.5,22925.8,125.6,292,588,12.2,16.92,1
4161,30189.3,22966.1,121.1,105,521,12.2,38.58,1
45786,30218.8,23028.7,147.1,130,504,12.2,44.78,1
240,30224.2,23039.9,141.8,123,542,12.2,45.43,1
